"Name","Source","Description","FileCount","TotalBytes","Path"
"cf-add-object","curated","Добавить объект метаданных в конфигурацию 1С с формой, подсистемой и валидацией. Workflow: meta-compile → cf-edit → subsystem-edit → form-add → form-compile → validate.","3","6897","<skills-root>\cf-add-object"
"cfe-borrow","curated","Заимствование объектов из конфигурации 1С в расширение (CFE). Используй когда нужно перехватить метод, изменить форму или добавить реквизит к существующему объекту конфигурации","5","161610","<skills-root>\cfe-borrow"
"cfe-diff","curated","Анализ расширения конфигурации 1С (CFE) — состав, заимствованные объекты, перехватчики, проверка переноса. Используй когда нужно понять что содержит расширение или проверить перенесены ли вставки в конфигурацию","5","44521","<skills-root>\cfe-diff"
"cf-edit","curated","Точечное редактирование конфигурации 1С. Используй когда нужно изменить свойства конфигурации, добавить или удалить объект из состава, настроить роли по умолчанию","6","52992","<skills-root>\cf-edit"
"cfe-full-cycle","curated","Полный цикл создания расширения конфигурации 1С (CFE) — от scaffold до валидации. Workflow: cfe-init → borrow → patch → form → validate.","3","7720","<skills-root>\cfe-full-cycle"
"cfe-init","curated","Создать расширение конфигурации 1С (CFE) — scaffold XML-исходников. Используй когда нужно создать новое расширение для исправления, доработки или дополнения конфигурации","5","32996","<skills-root>\cfe-init"
"cfe-patch-method","curated","Генерация перехватчика метода в расширении 1С (CFE). Используй когда нужно перехватить метод заимствованного объекта — вставить код до, после или вместо оригинального","5","30132","<skills-root>\cfe-patch-method"
"cfe-validate","curated","Валидация расширения конфигурации 1С (CFE). Используй после создания или модификации расширения для проверки корректности","5","75865","<skills-root>\cfe-validate"
"cf-info","curated","Анализ структуры конфигурации 1С — свойства, состав, счётчики объектов. Используй для обзора конфигурации — какие объекты есть, сколько их, какие настройки","5","38277","<skills-root>\cf-info"
"cf-init","curated","Создать пустую конфигурацию 1С (scaffold XML-исходников). Используй когда нужно начать новую конфигурацию с нуля","5","24908","<skills-root>\cf-init"
"cf-new-project","curated","Создать новую конфигурацию 1С с нуля — scaffold + объекты + подсистемы + роли + формы. Workflow: cf-init → meta-compile×N → subsystem-compile → role-compile → form-add → validate.","3","8004","<skills-root>\cf-new-project"
"cf-validate","curated","Валидация конфигурации 1С. Используй после создания или модификации конфигурации для проверки корректности","5","45330","<skills-root>\cf-validate"
